1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sirsa,25,1,104,104,0,104,0,0,0,0,2,11,30,1,4,3,294,159,0,115,40,0,4,135,130,5,0,0,0,0,0,155,31,10,14,0,0,0,14,2,1,4,63,0,0,0,0,1,1,10,35,0,16,2,0,0,0,19,2,3,750,4,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,15,614,402,212,414,49,365,12,31,2,9,9,0,3,0,15,5,1105,3,0,0,0,3,135,0,0,0,0,0,108,27,138,0,13,0,0,175,8,134,33,0,0,14,6,0,11,19,117,94,0,27,6,482,376,2870
21,Sonipat,98,4,385,372,63,309,0,0,0,13,14,37,89,0,7,7,260,224,61,113,50,0,0,36,35,1,0,0,0,0,0,0,162,58,51,0,0,0,51,24,1,28,323,30,0,30,0,4,1,46,30,0,212,0,0,0,0,70,15,9,1480,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,12,11,4,4,0,112,142,1119,685,434,462,45,417,18,19,9,7,7,0,1,0,41,3,1679,2,0,0,0,2,230,20,5,14,1,0,210,0,232,0,24,0,0,480,39,396,45,14,0,31,0,0,0,25,69,221,0,330,3,1197,526,5256
22,Yamunanagar,35,4,290,284,0,284,0,1,0,5,7,22,45,1,3,5,192,97,0,49,48,0,0,95,71,21,0,0,0,3,0,15,49,21,19,0,0,0,19,2,0,7,426,0,0,0,0,2,1,101,0,0,322,1,0,1,0,50,6,6,1158,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,853,574,279,406,57,349,15,9,0,7,7,0,3,0,18,26,1337,2,0,0,0,2,150,54,0,20,0,34,96,0,152,0,3,0,0,231,13,128,90,5,0,3,7,0,2,7,41,157,0,75,0,531,1276,4463
23,Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,331
24,Charkhi Dadri,23,3,69,66,0,66,0,1,0,2,2,5,12,0,2,4,144,107,61,20,26,0,0,37,34,3,0,0,0,0,0,98,45,19,13,0,0,0,13,9,0,4,17,0,0,0,0,1,3,6,3,0,4,0,0,0,0,19,5,5,453,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,15,15,4,0,0,0,34,0,0,0,8,76,214,107,107,85,8,77,6,13,1,3,3,0,1,0,5,8,336,0,0,0,0,0,56,22,8,13,1,0,22,12,56,0,3,0,0,124,4,115,5,4,0,15,1,0,0,7,35,30,0,47,6,272,35,1228
25,Hansi,12,2,81,81,81,0,0,0,0,0,3,14,15,0,0,0,305,248,58,51,20,117,2,57,55,1,1,0,0,0,0,0,28,3,12,0,0,0,12,7,0,6,22,1,0,1,0,0,0,3,7,0,11,1,0,0,0,13,3,2,501,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,27,327,200,127,135,16,119,7,15,0,3,3,0,2,0,3,5,497,0,0,0,0,0,61,41,3,16,0,22,20,0,61,0,1,0,0,140,3,114,23,0,0,8,2,0,0,8,55,52,0,31,3,300,196,1582
,Total,1046,54,5651,5467,1286,4181,0,6,8,170,245,498,948,6,83,124,6426,4902,1849,1604,881,488,80,1524,1272,200,9,4,0,39,0,3466,2031,584,675,50,23,26,576,347,13,412,4401,315,77,238,1,27,16,886,868,0,2288,13,3,1,0,1099,145,96,26336,14,13,1,14,0,2408,25,0,15,2,26,2,38,0,84,14,533,380,183,5,0,12,1089,41,41,0,1116,3565,26264,16238,10026,7447,1103,6344,320,572,137,196,196,0,40,0,1463,314,36753,21,0,0,0,21,4439,1362,98,654,128,482,2553,524,4460,7,324,0,0,7425,625,5603,1197,181,3,432,71,1,81,388,1709,3326,0,2417,179,16544,10252,97924
State: Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Baddi,7,1,51,44,0,44,0,1,0,6,1,4,1,0,0,0,104,97,76,12,1,8,0,7,7,0,0,0,0,0,0,0,7,1,4,0,0,0,4,0,1,1,8,4,0,4,1,1,0,0,2,0,0,0,0,0,0,10,0,0,194,0,0,0,0,0,32,0,0,1,4,0,0,0,0,0,0,2,0,7,0,0,0,18,0,0,0,0,32,58,33,25,37,7,30,0,2,0,1,1,0,0,0,13,2,113,0,0,0,0,0,17,10,0,2,3,5,3,4,17,0,0,0,0,135,0,128,7,31,0,0,0,0,1,2,34,12,0,1,0,216,11,583
2,Bilaspur,4,0,28,28,0,28,0,0,0,0,0,5,9,1,1,0,294,276,237,16,9,14,0,18,18,0,0,0,0,0,0,1,37,20,13,0,0,0,13,0,0,4,29,10,6,4,0,0,0,17,2,0,0,0,0,0,0,25,1,0,435,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,26,42,12,30,33,8,25,0,1,0,0,0,0,0,0,8,3,87,0,0,0,0,0,17,9,0,0,0,9,7,1,17,0,1,0,0,168,168,0,0,133,0,0,0,0,5,6,71,16,0,9,6,415,49,1029
3,Chamba,4,0,48,46,0,46,0,0,0,2,0,4,2,0,3,0,182,144,114,7,13,10,0,38,38,0,0,0,0,0,0,0,15,9,4,0,0,0,4,0,1,1,23,5,5,0,0,0,0,18,0,0,0,0,0,0,0,10,0,0,291,2,2,0,2,1,16,0,0,1,4,0,0,0,0,0,1,2,0,8,0,0,0,0,0,0,0,0,17,14,5,9,17,3,14,0,0,0,0,0,0,0,0,4,0,35,0,0,0,0,0,17,0,0,0,0,0,17,0,17,0,0,0,0,72,4,57,11,84,0,0,4,0,0,4,59,7,0,3,1,234,52,648
4,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
5,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,11
6,Hamirpur,0,0,33,33,0,33,0,0,0,0,0,7,4,0,4,0,209,184,152,25,4,3,0,25,25,0,0,0,0,0,0,0,25,0,25,2,1,0,22,0,0,0,11,10,10,0,0,0,0,1,0,0,0,0,0,0,0,18,0,1,312,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,24,10,14,35,2,33,0,0,0,0,0,0,0,0,2,2,63,0,0,0,0,0,41,36,13,2,0,21,0,5,41,0,4,0,0,87,0,87,0,75,0,0,0,0,0,7,68,5,0,3,6,255,4,693
7,Kangra,19,1,125,121,20,101,0,0,0,4,0,23,16,0,7,2,608,528,443,42,30,13,0,80,78,0,2,0,0,0,0,50,80,44,22,1,0,0,21,2,1,11,53,12,12,0,0,0,0,40,0,0,1,0,0,0,0,37,6,5,1032,0,0,0,0,11,72,0,0,0,0,0,5,1,0,8,0,32,3,8,0,5,0,10,0,0,0,0,83,75,33,42,106,32,74,0,0,0,0,0,0,0,0,22,3,206,1,0,0,0,1,74,0,0,0,0,0,58,16,75,0,0,0,0,403,0,194,209,196,0,0,0,5,5,19,178,31,0,18,18,873,44,2313
8,Kinnaur,4,0,18,18,0,18,0,0,0,0,0,4,1,0,0,0,46,40,32,1,5,2,0,6,6,0,0,0,0,0,0,0,6,0,5,0,0,0,5,1,0,0,4,3,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,3,19,4,15,0,0,0,1,1,0,0,0,0,0,25,4,0,0,3,1,8,0,0,0,0,0,5,3,12,0,0,0,0,16,0,10,6,38,0,0,0,0,0,0,11,0,0,0,0,65,0,190
9,Kullu,9,0,10,8,0,8,0,0,0,2,0,4,3,0,2,2,195,179,164,8,7,0,0,16,15,1,0,0,0,0,0,0,25,17,3,0,0,0,3,1,0,4,21,20,0,20,0,0,0,0,0,0,1,0,0,0,0,19,0,1,291,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,7,35,22,13,31,2,29,1,0,0,0,0,0,0,0,6,0,73,0,0,0,0,0,28,4,4,0,0,0,7,17,28,0,2,0,0,160,0,116,44,102,0,0,0,1,3,7,18,12,0,18,4,327,80,806
10,Lahaul & Spiti,0,0,11,11,0,11,0,0,0,0,0,1,0,0,0,0,8,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,14,14,0,0,34,0,0,0,0,0,0,1,0,0,0,0,50,4,84
11,Mandi,11,1,52,49,0,49,0,0,0,3,1,17,5,0,5,2,667,634,561,26,28,19,0,33,33,0,0,0,0,0,0,0,64,21,29,1,0,0,28,7,2,5,62,21,0,21,0,0,0,41,0,0,0,0,0,0,0,38,0,0,925,0,0,0,0,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,44,56,28,28,56,9,47,2,2,0,0,0,0,0,0,16,0,132,0,0,0,0,0,38,35,2,2,0,31,0,3,38,0,1,0,0,375,0,0,375,142,0,0,0,0,0,21,178,44,0,8,15,784,28,1951
12,Shimla,16,2,114,114,2,112,0,0,0,0,0,2,14,2,1,2,319,291,246,9,25,11,0,28,17,0,0,0,0,11,0,0,48,29,9,0,0,0,9,3,0,7,60,44,0,44,0,1,0,12,0,0,3,0,0,0,0,29,1,1,611,0,0,0,0,13,45,0,0,0,0,0,0,15,0,0,0,0,5,0,0,25,0,0,0,0,0,2,60,82,37,45,54,18,36,0,2,0,1,1,0,0,0,24,0,163,2,0,0,0,2,54,1,1,0,0,0,44,9,56,0,3,0,0,366,38,319,9,346,0,0,0,0,4,15,25,15,4,11,0,789,131,1810
13,Sirmaur,7,2,73,65,9,56,0,0,0,8,0,3,3,0,3,3,75,34,0,24,0,10,0,41,26,0,0,0,15,0,0,94,38,15,12,0,0,0,12,3,2,6,29,3,3,0,0,0,0,26,0,0,0,0,0,0,0,26,0,4,360,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,37,0,0,0,0,47,56,33,23,39,8,31,1,1,0,0,0,0,0,0,17,1,115,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,0,0,240,240,0,0,20,0,0,1,0,1,6,79,20,0,1,0,368,10,930
14,Solan,5,1,36,32,0,32,0,0,0,4,1,2,2,0,3,1,33,23,0,4,10,9,0,10,10,0,0,0,0,0,0,92,12,7,1,0,0,0,1,0,0,4,19,12,12,0,0,0,0,0,0,0,7,0,0,0,0,19,0,0,226,2,2,0,2,5,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,1,25,77,47,30,43,15,28,1,0,0,0,0,0,0,0,14,1,136,0,0,0,0,0,33,0,0,0,0,0,28,5,33,0,0,0,0,212,0,212,0,76,0,0,0,0,3,7,46,4,0,27,0,375,29,826
15,Una,13,0,99,94,0,94,0,0,0,5,0,13,9,0,0,2,87,50,0,39,5,5,1,37,37,0,0,0,0,0,0,152,38,25,8,0,0,0,8,0,1,4,19,2,0,2,0,0,0,11,0,0,6,0,0,0,0,14,0,1,447,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,33,68,30,38,78,0,78,0,0,0,0,0,0,0,0,7,2,155,0,0,0,0,0,65,0,0,0,0,0,63,2,65,0,0,0,0,198,0,0,198,115,0,0,1,0,1,5,62,25,0,7,2,416,3,1119
16,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
,Total,99,8,698,663,31,632,0,1,0,34,3,89,69,3,29,14,2828,2489,2031,213,140,104,1,339,310,1,2,0,15,11,0,389,397,190,135,4,1,0,130,17,8,47,339,147,49,98,1,2,0,167,4,0,18,0,0,0,0,249,8,13,5235,5,5,0,5,52,338,0,0,2,8,0,5,17,0,8,2,60,8,23,0,33,0,172,2,1,1,4,396,594,292,302,549,109,440,5,8,0,3,3,0,0,0,134,14,1307,7,0,0,3,4,433,95,20,6,3,66,267,71,440,0,12,0,0,2448,466,1123,859,1396,0,0,6,6,23,99,830,191,4,108,52,5175,449,13007
State: Jammu & Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anantnag,7,0,27,27,0,27,0,0,0,0,0,0,11,0,34,0,52,30,0,0,30,0,0,22,0,22,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,79,39,0,39,0,0,0,40,0,0,0,0,0,0,0,11,0,0,321,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,59,0,0,0,0,0,180,98,42,56,107,0,107,0,2,0,0,0,0,0,0,3,0,210,0,0,0,0,0,21,0,0,0,0,0,21,0,21,0,0,0,0,181,0,181,0,0,0,0,0,0,0,10,0,16,0,0,7,214,310,1256
2,Awantipora,4,0,11,11,11,0,0,0,0,0,0,0,7,0,8,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,35,42,42,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,1,1,149,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,33,14,19,27,0,27,0,0,0,0,0,0,0,0,1,0,61,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,0,72,0,72,0,0,0,0,0,0,0,3,15,5,0,10,0,105,51,399
3,Bandipora,7,1,13,13,1,12,0,0,0,0,0,0,7,0,7,0,184,184,167,0,17,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,47,0,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,297,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,23,9,14,16,0,16,0,0,0,0,0,0,0,0,3,0,42,0,0,0,0,0,12,0,0,0,0,0,12,0,12,0,0,0,0,43,43,0,0,0,0,3,0,0,0,4,0,2,0,0,0,52,0,437
4,Baramulla,7,3,17,17,17,0,0,0,0,0,0,0,15,0,42,2,26,0,0,0,0,0,0,26,2,0,0,0,24,0,0,0,60,60,0,0,0,0,0,0,0,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,4,0,0,231,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,95,65,16,49,75,7,68,0,0,0,2,2,0,0,0,1,0,143,0,0,0,0,0,28,0,0,0,0,0,28,0,28,0,0,0,0,177,177,0,0,0,0,12,0,0,0,6,45,46,0,0,0,286,174,957
5,Budgam,0,0,21,21,0,21,0,0,0,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,155,155,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,66,0,0,1,0,0,0,0,10,0,0,378,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,98,110,37,73,117,40,77,0,4,0,0,0,0,0,0,1,0,232,0,0,0,0,0,29,0,0,0,0,0,18,11,29,0,15,0,0,125,0,125,0,0,0,2,0,0,0,11,140,2,0,0,0,295,0,1032
6,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,32
7,Crime Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,39,39,2,0,0,37,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
8,Doda,2,0,4,0,0,0,0,0,0,4,0,0,7,0,3,3,91,91,84,0,7,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,15,0,0,173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,31,2,29,31,5,26,0,0,0,0,0,0,0,0,5,0,67,0,0,0,0,0,7,0,0,0,0,0,7,0,7,0,39,0,0,181,0,181,0,0,0,3,0,0,0,10,58,7,0,4,0,302,28,579
9,Ganderbal,1,1,15,15,0,15,0,0,0,0,0,0,8,0,11,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,54,72,72,0,0,0,0,0,0,0,0,30,19,0,19,0,0,0,11,0,0,0,0,0,0,0,4,2,0,200,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,36,36,11,25,25,0,25,0,0,0,0,0,0,0,1,0,0,62,0,0,0,0,0,8,0,0,0,0,0,3,5,8,0,16,0,0,93,93,0,0,0,0,8,0,0,0,5,0,10,0,34,0,166,37,509
10,Handwara,8,1,6,6,6,0,0,0,0,0,0,2,7,0,58,0,129,128,111,0,17,0,0,1,0,0,1,0,0,0,0,1,61,55,2,0,0,2,0,1,0,3,30,17,3,14,0,0,0,13,0,0,0,0,0,0,0,8,6,0,317,2,0,2,2,0,60,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,3,0,3,0,63,30,1,29,13,1,12,0,1,0,0,0,0,0,0,4,0,48,0,0,0,0,0,12,0,0,0,0,0,12,0,12,0,6,0,0,98,0,98,0,0,0,0,0,0,0,3,64,4,3,0,0,178,4,624
11,Jammu,14,0,152,152,0,152,0,0,0,0,4,9,79,0,9,0,61,53,0,0,53,0,0,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0,49,0,3,594,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,31,0,0,0,0,47,448,316,132,212,75,137,0,0,0,0,0,0,0,0,16,0,676,4,0,0,0,4,154,0,0,0,0,0,0,154,158,0,0,0,0,1136,0,1136,0,0,0,0,0,0,0,15,113,64,0,0,24,1352,1097,3924
12,Kargil,0,0,11,11,0,11,0,0,0,0,0,0,1,0,0,0,6,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,1,2,5,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,66,0,66,0,0,0,1,0,0,0,0,0,0,0,0,0,67,3,101
13,Kathua,4,0,56,53,0,53,0,0,3,0,2,1,18,0,1,0,5,3,3,0,0,0,0,2,2,0,0,0,0,0,0,154,22,22,0,0,0,0,0,0,0,0,25,16,0,16,0,0,1,7,0,0,1,0,0,0,0,16,2,1,307,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,18,64,43,21,38,0,38,0,0,0,0,0,0,0,0,5,0,107,0,0,0,0,0,12,12,0,0,0,12,0,0,12,0,0,0,0,345,35,285,25,0,0,2,2,0,7,3,100,12,0,0,2,473,26,943
14,Kishtwar,2,1,1,0,0,0,0,0,0,1,0,2,5,0,1,3,100,99,90,0,9,0,0,1,1,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,17,10,0,10,0,0,0,7,0,0,0,0,0,0,0,4,0,0,162,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11,1,10,13,4,9,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,7,0,0,0,0,0,7,0,7,0,19,0,0,92,0,92,0,0,0,1,0,0,0,6,57,4,0,0,0,179,8,383
15,Kulgam,11,1,9,9,9,0,0,0,0,0,0,0,6,0,5,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,121,99,99,0,0,0,0,0,0,0,0,45,0,0,0,0,3,0,42,0,0,0,0,0,0,0,22,0,0,339,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,50,0,0,0,0,0,63,42,19,23,51,0,51,0,5,0,0,0,0,0,0,2,0,100,2,0,0,0,2,14,0,0,0,0,0,14,0,16,0,0,0,0,138,138,0,0,0,0,3,0,0,0,3,0,11,0,0,0,155,84,757
16,Kupwara,6,2,11,11,0,11,0,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,59,0,0,0,0,5,0,54,0,0,0,0,0,0,0,12,0,0,161,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,92,0,0,0,0,119,39,6,33,42,0,42,0,0,0,0,0,0,0,0,1,0,82,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,15,0,0,114,0,114,0,0,0,4,0,0,0,8,0,13,0,0,0,154,161,686
17,Leh,0,3,26,26,0,26,0,0,0,0,0,0,1,0,2,1,33,8,8,0,0,0,0,25,0,0,0,0,2,23,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,76,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,11,3,8,0,1,0,0,0,0,0,0,2,0,15,1,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,34,3,134
18,Poonch,9,0,28,25,7,18,0,1,0,2,0,1,12,0,0,2,201,150,106,22,18,4,0,51,51,0,0,0,0,0,0,2,33,33,0,0,0,0,0,0,0,0,31,14,0,14,0,0,0,17,0,0,0,0,0,0,0,15,1,1,336,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,3,0,1,1,0,0,31,23,6,17,19,0,19,0,0,0,0,0,0,0,0,3,0,45,1,0,0,0,1,16,8,0,3,0,5,7,1,17,0,104,0,0,177,3,107,67,0,0,0,0,0,0,12,104,8,1,0,2,408,18,855
19,Pulwama,12,0,6,6,0,6,0,0,0,0,0,0,19,0,1,1,48,48,45,0,3,0,0,0,0,0,0,0,0,0,0,4,32,28,1,0,0,0,1,3,0,0,30,13,0,13,0,5,0,12,0,0,0,0,0,0,0,3,1,0,157,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,108,0,4,4,0,0,147,33,11,22,36,5,31,0,9,0,0,0,0,0,0,0,0,78,0,0,0,0,0,12,3,0,0,1,2,7,2,12,0,4,0,0,45,0,36,9,0,0,0,0,0,0,1,26,4,0,0,0,80,3,477
20,Railways Jammu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
