SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Daman,2016,4,2,1,2,11,0,20,1,0,2,15,30,0,3,3,20,1,0,2,5,0,4,1,5,0,24,0,0,3,0,15,2,0,24,200
2,Diu,2016,0,1,0,0,1,0,1,0,0,0,5,12,0,6,0,1,1,0,0,5,0,0,1,3,0,10,0,0,0,0,18,0,1,5,71
3,Total District(s),,4,3,1,2,12,0,21,1,0,2,20,42,0,9,3,21,2,0,2,10,0,4,2,8,0,34,0,0,3,0,33,2,1,29,271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Delhi UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Central,2016,31,28,4,61,104,1,240,1,0,208,777,6768,0,2,32,197,1,2,9,22,7,233,49,103,0,78,0,0,8,0,1517,5,14,1647,12149
2,Crime Branch,2016,2,6,0,0,1,0,2,0,0,0,0,0,0,0,1,41,1,4,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,66
3,East,2016,34,59,4,75,221,3,651,3,0,658,1418,13901,0,4,45,397,9,0,19,33,17,380,100,445,0,111,0,0,31,0,845,4,14,2308,21789
4,EOW,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136
5,IGI Airport,2016,0,0,0,0,0,0,1,0,0,2,0,234,0,0,6,22,209,0,0,0,0,11,3,0,0,4,0,0,0,0,19,0,0,48,559
6,Metro,2016,1,1,0,0,1,0,6,0,0,2,3,9702,0,0,4,6,0,0,0,2,0,15,0,0,0,1,0,0,0,0,0,0,0,15,9759
7,New Delhi,2016,7,6,0,5,23,1,50,0,0,63,75,1830,0,11,12,151,90,60,6,6,1,57,9,11,0,69,1,0,5,0,286,0,2,244,3081
8,North,2016,26,25,6,31,65,0,272,3,0,233,687,7280,0,3,46,290,0,0,10,28,6,171,17,125,0,154,0,0,9,1,810,0,9,1131,11438
9,North-East,2016,51,117,4,229,223,5,826,2,1,829,1250,11615,0,15,30,305,0,0,22,52,19,333,21,654,0,132,0,0,14,0,641,3,27,2918,20338
10,North-West,2016,46,75,3,53,190,6,609,10,1,597,1294,12135,0,17,37,541,3,1,12,54,16,371,68,347,0,190,0,0,21,0,1920,5,20,1568,20210
11,Outer,2016,101,83,9,81,372,1,1037,5,2,852,2163,15033,0,5,41,524,9,1,24,53,28,530,131,589,0,302,0,0,32,1,831,5,29,2783,25657
12,RAILWAY,2016,6,5,0,0,7,0,40,1,0,60,0,3837,0,0,4,8,0,0,0,3,0,4,0,0,0,1,0,0,1,0,6,2,0,321,4306
13,South,2016,43,37,8,85,246,9,601,6,1,325,1944,13965,0,7,108,1058,12,3,17,55,9,708,239,166,0,161,1,0,25,0,873,3,13,1556,22284
14,South-East,2016,58,72,4,72,275,1,765,4,0,265,1330,10812,0,5,81,499,6,1,23,104,14,510,137,326,0,193,0,0,17,0,912,1,20,1298,17805
15,South-West,2016,58,48,3,66,171,1,762,6,0,225,1263,6872,0,5,45,522,3,1,27,61,22,389,71,326,0,212,0,0,29,0,873,1,15,1130,13207
16,Spl Cell,2016,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15
17,SPUWAC,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,234
18,Vigilance,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,West,2016,64,79,9,87,256,1,757,5,0,442,2103,16944,0,5,64,746,5,3,14,56,23,450,72,551,0,248,0,0,29,0,1106,2,19,2346,26486
20,Total District(s),,528,646,54,845,2155,29,6619,46,5,4761,14307,130928,0,79,559,5396,392,80,183,529,162,4165,918,3877,0,1856,2,0,226,2,10639,31,182,19318,209519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lakshadweep,2016,0,1,0,0,5,0,0,0,0,0,1,8,2,0,0,1,0,0,5,0,0,1,1,2,0,1,0,1,0,0,0,0,0,7,36
2,Total District(s),,0,1,0,0,5,0,0,0,0,0,1,8,2,0,0,1,0,0,5,0,0,1,1,2,0,1,0,1,0,0,0,0,0,7,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Karaikal,2016,2,2,0,0,5,0,0,0,0,1,8,53,3,1,3,14,0,0,0,6,0,13,0,10,0,56,0,0,3,0,215,0,0,203,598
2,Puducherry,2016,31,10,2,0,1,0,15,2,0,7,32,483,22,32,11,63,8,5,1,69,0,30,3,5,0,190,0,0,14,0,1353,0,0,1099,3488
3,Total District(s),,33,12,2,0,6,0,15,2,0,8,40,536,25,33,14,77,8,5,1,75,0,43,3,15,0,246,0,0,17,0,1568,0,0,1302,4086
Source: Crime in India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
